NAID,OCR text,Human text,CER
28992015,"
This case contains 2,
5% >
photos and 3,
negatives.","This case contains 2, 5” x 7” photos and 3, 2 1/2 “ x 3 1/2” negatives.",0.30985915492957744
28973130,"
UNCLASSIFIEd
AF FORM 112-PART 11
(CLASSIFICATION)
APPROVED 1 JUNE 1948
AIR INTELLIGENCE INFORMATION REPORT
FROM
REPORT NO.
PAR TWO
Det 4, 10 6th AISS
AISS-UFCB-387-57
PAGE
5
OF
8
PAGES
S-T--1-0--N-T
I went outside the We ther Station about 1550 PST to
observe the thunderstorm to the northeast. This thunderstorm
was estimated to be approximately 10 miles to the northeast.
While watching for lightning and trying to determine the
direction of movement of the storm, several very I Est noving
objects we e seen at the west edge of the storm. They we e
moving very r. cidly back and forth uch like à mock-dog fight.
They changed directions Instantaneoisl and appeared mich larger
momentarily during their turns. They stayed in view over
minute and I finally lost sight of them in the storm. Visibility
was excellent during the entire period.
Lewis F. Baker AO 490014
Major, JSAF
A CERTIFIED TRUE COPY
RICHARD ade HOLM
NO, W-1, USAF
NOTE: THIS DOCUMENT CONTAINS INFORMATION AFFECTING THE NATIONAL DEFENSE OF THE UNITED STATES WITHIN THE MEANING OF THE ESPIONAGE ACT. 50 U S.
31 AND 32 AS AMENDED. ITS TRANSMISSION OR THE REVELATION OF ITS CONTENTS IN ANY MANNER TO AN UNAUTHORIZED PERSON IS PROHIBITED BY LAW.
IT. MAY NOT BE REPRODUCED IN WHOLE OR IN PART. BY OTHER THAN UNITED STATES AIR FORCE AGENCIES. EXCEPT BY PERMISSION OF THE DIRECTOR OF
INTELLIGENCE USAF.
UNCLASSIFIED
(CLASSIFICATION)
18--58570-1
*
PRINTING
OFFICE","UNCLASSIFIED  
AF FORM 112-PART II  
(CLASSIFICATION)  
APPROVED 1 JUNE 1948  
AIR INTELLIGENCE INFORMATION REPORT  
FROM  
REPORT NO.  
PART TWO  
Det 4, 10 6th AISS  
AISS-UFCB-387-57  
PAGE  
5  
OF  
8  
PAGES  
S-T-A-T-E-M-E-N-T

I went outside the Weather Station about 1550 PST to observe the thunderstorm to the northeast. This thunderstorm was estimated to be approximately 10 miles to the northeast. While watching for lightning and trying to determine the direction of movement of the storm, several very fast moving objects were seen at the west edge of the storm. They were moving very rapidly back and forth, much like a mock-dog fight. They changed directions instantaneously and appeared much larger momentarily during their turns. They stayed in view over a minute and I finally lost sight of them in the storm. Visibility was excellent during the entire period.  

Lewis F. Baker AO 490014  
Major, USAF 
S-T-A-T-E-M-E-N-T
A CERTIFIED TRUE COPY  
RICHARD A HOLM  
WO, W-1, USAF  

NOTE: THIS DOCUMENT CONTAINS INFORMATION AFFECTING THE NATIONAL DEFENSE OF THE UNITED STATES WITHIN THE MEANING OF THE ESPIONAGE ACT. 50 U.S.C-. 31 AND 32 AS AMENDED. ITS TRANSMISSION OR THE REVELATION OF ITS CONTENTS IN ANY MANNER TO AN UNAUTHORIZED PERSON IS PROHIBITED BY LAW. IT MAY NOT BE REPRODUCED IN WHOLE OR IN PART, BY OTHER THAN UNITED STATES AIR FORCE AGENCIES, EXCEPT BY PERMISSION OF THE DIRECTOR OF INTELLIGENCE USAF.  
UNCLASSIFIED  
(CLASSIFICATION)  
18--58570-1  
*  
U.S. GOVERNMENT PRINTING OFFICE
",0.05126452494873548
28997059,"
the
5875
st
= 0658-
72721
HENKSVILLE (CAR)
4480
Hanksville
R
20
HANHSVULE RADIO
MaSai
491
.
.10
-
MOUNTRICTION
150
7151
MJ
11485
R
eian
KJ
LJ
C
38
2.
50
10
50
10
a
40
20
30
40
50
11320
=
8987
-
10650
-
Monticelio
9202
o
PK
HITE PARKER
7930
50
01445
3549 35
Dove
Creek
8150
9059
Blanding
BLANDING
5750-25
YÉLLOW
8920
-
30
-
1
20
Bluff
6443
MEXICAN HAT
4250-25
KH
c
OLJETO (Pvi) MONUMENTVALLEY
483811-36
15155
LH
MH
10388
UTAH
-
37
ARIZONA
Mexican nater
TES NOS PAS
E
a
-
7097
50
RASTORALP
66333
9420
7900
(ROCK POINT MISSION
Kayenta
5100
20
KAYENTA
5810--56
40
!
KAIBITO
is
070--26
c
ROUND ROCK
.COVE
5400 -3-33
60s0
30
9835
l
0
-10
-
8075
.7035
Tonalea
20
MANY FARMS
-
300--24
-
-
7580
TY
CHINLE
44
10
5500 50
7580
Chinie
Moenhopi
KG
to
G
-
11
Let.
36
To Valle 115. VLE 20
50
30
40
10
20
30
50
14
40
50
ALTITUDE CONVERSION SCALE
Meters
To Winslogg 266 INW #
10
15
20
25
30
J
&
20
Feet
30
40
50
60
70
80
90
100
For conversions above 100 leet. add like numrer of ciphers to the figures on bothsides of scale.
I
111°K
110 L
(Joins 405) 109 M
410
430
4:
0
2401
2501
260
270
280
290
300
310
320,
330
340)
350
360
370
380
390
400
420
130
140
150
160
170
180
190
200
210
220
230
150
160
170)
1801
1901
200
210
2201
230
240
2501
260
270
or
st and Geodetic Survey
herce
The
NOTE: It is requested that users of this chart indicate corrections and additions
which come to their attention and notily
""THE DIRECTOR, U.S. COAST AND GEODETIC SURVEY, WASHINGTON 25, D.C.""
BASE NO 5R2
Obstructions
OLLED AREAS
stations. Limits of
500 feet or higher above ground
Under construction, position
UC
of the radials.
Less than 500 feet above ground
and elevation unverified",ǂmapǂ,1.0
28982089,"
PAGE TWO RJEDSJ 3
(8) NONE
(9) ERIGHT FLASH
3. (1) FLASH IN SKY
(2) DIRECTLY OVERNEAD
(3) 90 DEGREE ANGLE
(4) PASSED DIRECTLY OVER HEAD
(5) TO THE NORTH FAST
(6) 2 OR 3 SECONDS
C. (1) GROUND VISUAL
(2)
NONE
(3) NONE
D. (1)
1,MAR. 1959 2355Z
(2) NIGHT
in (1)
*EELATRE TY rs MI read MITCHEL AFS NY
F. (1) D
is
FELLAIRE NY.
(2) NONE
G. (1) CLEAR CALM
(2) 272/10 260/15 253/25 272/40 210/90 250/15
(3) CLEAR
(4) 10 MI
PAGE THREE RJEDSJ 3
(5) CLEAR","PAGE TWO RJEDSJ 3
(8) NONE
(9) BRIGHT FLASH
3. (1) FLASH IN SKY
(2) DIRECTLY OVERHEAD
(3) 90 DEGREE ANGLE
(4) PASSED DIRECTLY OVER HEAD
(5) TO THE NORTH FAST
(6) 2 OR 3 SECONDS
C. (1) GROUND VISUAL
(2) NONE
(3) NONE
D. (1) 1, MAR. 1959 2355Z
(2) NIGHT
E. (1) BELAFRE NY  15 MI FROM MITCHEL AFS NY
F. (1) D ǂredactedǂAIRE NY.
(2) NONE
G. (1) CLEAR CALM
(2) 270/10 260/15 250/25 272/40 210/90 260/15
(3) CLEAR
(4) 10 MI
PAGE THREE RJEDSJ 3
(5) CLEAR
",0.056433408577878104
28974641,"
Act Info
Comdr
HE4
V/C
2110057 II 32
Z1XI
SpAsst
3
Sect
Safety
D/P&A
D/P
D/A
ASID
CADJ
AK145/15
IG
HPB261030MAA213ALA086LCE053
Prot
PP RJAPAD RJHPHM RJEDEN RJKDAG
ZDK
D
OIS
LCA041
Surg
PP RJAPAD RJHPHM RJEDEN RJKDAG
Chap
DE RJMALC 196
SJA
P 130828Z
D/O
FM COMOR THIRTEENTH AF
04
TO RJHPHM/CINCPACAF
D/M
RJAPAD/COMDR FIFTH AF
ACSI
RJKDAG/COMDR ALASKAN AIR COM ELMENDORF AFB
D/C
RJEDEN/COMDR AIRDEF COMD ENT AFB
BT
Stat
@
OK
UNCLASSIFIED FROM 13100 08448 PD UNOB PD THIS MESSAGE IN
OS!
TWLEVE PARTS PD PART ONE PD DESCRIPTION ALPHA SMAPE ROUND AS
VIEWED FROM IMMEDIATELY BELOW PR BRAVO SIZE APPROXIMATELY
ADV-COPY
CADJ-TOR
CADJ-NUMBER
SUSPENSE
INCOMING MESSAGEFORM
FEAF FORM 162 1 January 1957
A24158
H","Act Info  
Comdr  
4E4  
V/C  
21 Nov57 10 32  

SpAsst  
3  
Sect  
Safety  
D/P&A  
D/P  
D/A  
 
CADJ  
AK145/15  
IG  
HPB261030MAA213ALA086LCE053  
Prat  
PP RJAPAD RJHPHM RJEDEN RJKDAG  
ZDK  
D  
OIS  
LCA041  
Surg  
PP RJAPAD RJHPHM RJEDEN RJKDAG  
Chap  
DE RJMALC 196  
SJA  
P 130828Z  
D/O  
FM COMDR THIRTEENTH AF  
D/I  
TO RJHPHM/CINCPACAF  
D/M  
RJAPAD/COMDR FIFTH AF  
ACSI  
RJKDAG/COMDR ALASKAN AIR COM ELMENDORF AFB  
D/C  
RJEDEN/COMDR AIRDEF COMD ENT AFB  
BT  
Stat  

UNCLASSIFIED FROM 131DC 08448 PD UNOB PD THIS MESSAGE IN  
OSI  
TWELVE PARTS PD PART ONE PD DESCRIPTION ALPHA SMAPE ROUND AS  
VIEWED FROM IMMEDIATELY BELOW PR BRAVO SIZE APPROXIMATELY  
ADV-COPY  
CADJ-TOR  
CADJ-NUMBER  
SUSPENSE  
INCOMING MESSAGE FORM  
FEAF FORM 162 1 January 1957  
A24158
",0.05
28989706,"
HEADQUARTERS
819TH AIR DIVISION
UNITED STATES AIR FORCE
DYESS AIR FORCE BASE, TEXAS
REPLY TO
ATTN OF:
BC
SUBJECT:
Unidentified Flying Object
1 BOCT
-
TO: Commander
Air Technical Intelligence Center
Wright-Patterson Air Force Base, Ohio
Inclosed is a letter received by this base on 17 Oct 1960 for
your information,
FOR the COMHANDER:
1 Incl
Ann BRenh
a/s
TRVING B. BERK
USAF
Direator of Administrative Serviçue","HEADQUARTERS  
819TH AIR DIVISION  
UNITED STATES AIR FORCE  
DYESS AIR FORCE BASE, TEXAS  

REPLY TO  
ATTN OF:  
BC  

SUBJECT:  
Unidentified Flying Object  

18 OCT 1959 

TO: Commander  
Air Technical Intelligence Center  
Wright-Patterson Air Force Base, Ohio  

Inclosed is a letter received by this base on 17 Oct 1960 for your information.  

FOR THE COMMANDER:  
1 Incl  
 
a/s  
IRVING B. BERK  
Major. USAF  
Director of Administrative Services",0.08029197080291971
28993832,"
PROJECT 10073 RECORD CARD
1. DATE
2. LOCATION
12. CONCLUSIONS
Was Balloon
3 Aug 61
2621N 12650E (FAREAST)
Probably Balloon
Possibly Balloon
3. DATE-TIME GROUP
4. TYPE OF OBSERVATION
Was Aircraft
Local 2015
Ground-Visual
Ground-Radar
Probobly Aireraft
GMT 0311157
(Air-Visual
Air-Intercept Radar
Possibly Aircraft
5. PHOTOS
6. SOURCE
Was Astronomisel
Probably Astronomical
Yes
Possibly Astronomical
No
Military
s. NUMBER OF OBJECTS
Other
Prob
Echo
9. COURSE
7. LENGTH OF OBSERVATION
Insufficient Data for Evaluation
Unknown
17 min
NE
10. BRIEF SUMMARY OF SIGHTING Silver white objet ob-
11. COMMENTS Description, duration, and
served 40° elev, 280° az. Disappearing over
flight path of objt is characteristic
horizon at 050° after straight flight path in
of satellite Echo I. A check indicates
sight 17 min. Multiple sightings.
that Echo I was in position reported
by witnesses. It is therefore concluder
that objt observed was probably Echo I.
ATIC FORM 329 (REV 25 SEP 52)","PROJECT 10073 RECORD CARD  
1. DATE 3 Aug 61
2. LOCATION 2621N 12650E (FAR EAST)  
3.  DATE-TIME GROUP Local 2015 GMT 031115Z  
4. TYPE OF OBSERVATION Ground-Visual Ground-Radar ʘAir-Visualʘ Air-Intercept Radar  
5. PHOTOS Yes ʘNoʘ  
6.  SOURCE Military
7. LENGTH OF OBSERVATION 17 min  
8.  NUMBER OF OBJECTS 1
9. COURSE NE  
10. BRIEF SUMMARY OF SIGHTING Silver white objt ob-served at 40° elev, 280° az. Disappearing over horizon at 050° after a straight flight path in sight 17 min. Multiple sightings.
11. COMMENTS Description, duration and flight path of objt is characteristic of satellite Echo I. A check indicates that Echo I was in position reported by witnesses. It is therefore concluded that the objt observed was probably Echo I.  
12. Conclusions 
Was Balloon
Probably Balloon
Possibly Baloon
Was Astronomical
Probably Astronomical
Possibly Astronomical
ʘOther Prob Echoʘ
Insufficient Data for Evaluation
Unkown
ATIC FORM 329 (REV 25 SEP 52)
",0.6957862281603289
29000943,"
PROJECT 10073 RECORD
1. DATE - TIME .GROUP
2. LOCATION
Summer 1963
Middletown, New York
3. SOURCE
10. CONCLUSION
Civilian
UNIDENTI FIED
4. NUMBER OF OBJECTS
Report received two years after observation. Too old to warrent
8 - 10
additional investigation. No apparent soultion.
5. LENGTH OF OBSERVATION
11. BRIEF SUMMARY AND ANALYSIS
About 1 Minutex
8 - 10 lights moving at random fromed into a circle and then
6. TYPE OF OBSERVATION
flew away. Brighter than stars. Darting in all directions
for 30 seconds, flying in a circle for 30 seconds, then dis-
Ground-Visual
appeered to North in a few seconds. Report made two years
7. COURSE
after sighting.
Manuvered
2
13
4.
8. PHOTOS
Yes
No
9. PHYSICAL EVIDENCE
Yes
No
FORM
FTD SEP 63 0-329 (TDE)
Previous editione of this forma may be used.","PROJECT 10073 RECORD  
1. DATE - TIME GROUP  
Summer 1963  
2. LOCATION  
Middletown, New York  
3. SOURCE  
Civilian  
4. NUMBER OF OBJECTS  
8 - 10  
5. LENGTH OF OBSERVATION  
About 1 Minutex  
6. TYPE OF OBSERVATION  
Ground-Visual  
7. COURSE  
Maneuvered  
8. PHOTOS  Yes ʘNoʘ
 
9. PHYSICAL EVIDENCEYes  ʘNoʘ 
10. CONCLUSION  
UNIDENTIFIED 
Report received two years after observation.  Too old to warrant an additional investigation.  No apparent solution. 
11. BRIEF SUMMARY AND ANALYSIS:  
8 - 10 lights moving at random fromed into a circle and then flew away. Brighter than stars. Darting in all directions for 30 seconds, flying in a circle for 30 seconds, then dis-appeared to  North in a few seconds. Report made two years after sighting. 
K243.6012-1
1-16 Jan 1963
RETURN TO:
Director
Aerospace Studies Inst
ATTN: Archives Branch
Maxwell AFB, Alabama 
FORM  
FTD SEP 63 0-329 (TDE)  
Previous editions of this form may be used.
",0.44594594594594594
28921378,"
[1949]
1 - 31 AUGUST/SIGHTINGS
DATE
LOCATION
OBSERVER
EVALUATION
501 Aug
Tresno, California (CARDS MISSING)
502
1
Columbus, Ohio
1. Other (CONTRAIL)
2. Astro (STARS/PLANETS
503
2
44.15N - 132.57W (California)
PHOTOS)
Other (CLCUDS/CONTRAILS)
504
2
Port O'Connor
Astro (VENUS)
505
2
San Francisco. California
Other (KITES)
506 5
LaPorte, Pennsylvania
Multiple (PHOTOS)
Other (HOAX)
(PHYSICAL SPECIMEN)
507
6
Long Island. New York
BALLOON
508
7
New Orleans. Louisiana
BALLOON
509
7
Tampico. Mexico
Astro (METEOR)
510 8
Death Valley, California
Other (HOAX)
(PHYSICAL SPECIMEN)
511
8
Medford, Oregon
Multiple
Other (BALLS OF THISTLE)
512
Manitou Springs, Colorado
BALLOON
513
8
Biloxi, Hattiesburg, Mississippi
Astro (METEOR)
514
9
Hebgen Lake. Montana
Other (ASTRADOME FROM
C-47)
515
10
Cemp Hood. Texas
Multiple
Astro (METEOR)
516 10
Hindsville. Arkansas
AIRCRAFT
-12
est-NNewPort-Beach.Cal Afornia
Hood NOT investigated
INSUFFICIENT-DATA
517 13
New Orleans, Louisiana
CASE of
Other (CAST ALUMINUM
PHOTOS)
ALLOY OF ORDINARY
(PHYSICAL SPECIMEN)
COMMERCIAL QUALITY
518
14-21 Nogales, Arizona
Multiple
1. Other (REFLECTION OF
AIRPORT BEACON
ON CLOUDS)
2. Astro (METEORS)
519
15
.Dallas, Texas
AIRCRAFT
520
15
!Seattle, Washington
AIRCRAFT
521
15
>Greenville, South Carolina
BALLOON
522
17
-Glen Burnie, Maryland
(PHOTOS)
Other (HOAX)
523
18
Weimar. California
Other (BIRDS)
524
19
Wisconsin
AIRCRAFT
525
19
Langley AFB. Virginia
INSUFFICIENT DATA
526
20
-Llano, Texas
Astro (MOON)
527
20
Denver. Colorado
AIRCRAFT
528
22
Seattle, Washington
AIRCRAFT
529
23
(Misawa AB, Japan
AIRCRAFT
530
25
McDonald, Ohio
Other (PAPER IN WIND)
531
26
Davis-Monthan AFB, Arizona
AIRCRAFT
1332 28
Hansville, Washington
BALLOON
533
31
Houston, Texas
Astro (METEOR)
534
31
Sacramento, California
Astro (METEOR)
535
Aug-Sep . Oak Park (STATE UNKNOWN)
INSUFFICIENT DATA
ADDITIONAL REPORTED SIGHTINGS (NOT CASES)
DATE
LOCATION
SOURCES
OBSERVER
536
20
Las Cruces, New Mexico
1 - 31 AUG","[1949]  
1 - 31 AUGUST 1949 SIGHTINGS  
DATE  
LOCATION  
OBSERVER  
EVALUATION  
501 Aug 
Freano, California (CARDS MISSING)  ǂredactedǂ
Columbus, Ohio  
1 Other (CONTRAIL)  
 
2  
44.15N - 132.57W (California)  
PHOTOS)  
Other (CLOUDS/CONTRAILS) ǂredactedǂ 
504  
2  
Port O'Connor  ǂredactedǂ
Astro (VENUS)  
505  
2  
San Francisco, California
ǂredactedǂ
Other (KITES)  
506  
5  
LaPorte, Pennsylvania  
Multiple (PHOTOS)  
Other (HOAX)  
(PHYSICAL SPECIMEN)  
507  
6  
Long Island, New York  
ǂredactedǂ
BALLOON  
508  
7  
New Orleans, Louisiana 
ǂredactedǂ 
BALLOON  
509  
7  
Tampico, Mexico
ǂredactedǂ 
Astro (METEOR)  
510  
8  
Death Valley, California
ǂredactedǂ  
Other (HOAX)  
(PHYSICAL SPECIMEN)  
511  
8  
Medford, Oregon  
Multiple  
Other (BALLS OF THISTLE)  
512  
Manitou Springs, Colorado 
ǂredactedǂ 
BALLOON  
513  
8  
Biloxi, Hattiesburg, Mississippi 
ǂredactedǂ 
Astro (METEOR)  
514  
9  
Hebgen Lake, Montana  
ǂredactedǂ
Other (ASTRADOME FROM  
C-47)  
515  
10  
Camp Hood, Texas  
Multiple  
Astro (METEOR)  
516  
10  
Hindsville, Arkansas  
ǂredactedǂ
AIRCRAFT  
12  
West-Newport Beach, California  
NOT investigated  
INSUFFICIENT DATA  
517  
13  
New Orleans, Louisiana  
CASE of  
Other (CAST ALUMINUM  
PHOTOS)  
ALLOY OF ORDINARY  
 
COMMERCIAL QUALITY 
(PHYSICAL SPECIMEN 
518  
14-21  
Nogales, Arizona  
Multiple  
1. Other (REFLECTION OF  
AIRPORT BEACON  
ON CLOUDS)  
2. Astro (METEORS)  
519  
15  
Dallas, Texas  
AIRCRAFT  
520  
15  
Seattle, Washington
ǂredactedǂ  
AIRCRAFT  
521  
15  
Greenville, South Carolina  
ǂredactedǂ
BALLOON  
522  
17  
Glen Burnie, Maryland
ǂredactedǂ  (PHOTOS)  
Other (HOAX)  
523  
18  
Weimar, California
ǂredactedǂ  
Other (BIRDS)  
524  19  
Bloomington, Wisconsin
ǂredactedǂ  
AIRCRAFT  
525  
19  
Langley AFB, Virginia
ǂredactedǂ  
INSUFFICIENT DATA  
526  
20  
Llano, Texas
ǂredactedǂ  
Astro (MOON)  
527  
20  
Denver, Colorado
ǂredactedǂ  
AIRCRAFT  
528  
22  
Seattle, Washington
ǂredactedǂ  
AIRCRAFT  
529  
23  
Misawa AB, Japan 

AIRCRAFT  
530  
25  
McDonald, Ohio  
Other (PAPER IN WIND)  
531  
26  
Davis-Monthan AFB, Arizona
ǂredactedǂ  
AIRCRAFT  
532  
28  
Hansville, Washington
ǂredactedǂ  
BALLOON  
533  
31  
Houston, Texas
ǂredactedǂ  
Astro (METEOR)  
534  
31  
Sacramento, California
ǂredactedǂ  
Astro (METEOR)  
535  
Aug-Sep  
Oak Park (STATE UNKNOWN)
ǂredactedǂ  
INSUFFICIENT DATA  
ADDITIONAL REPORTED SIGHTINGS (NOT CASES)  
DATE  
LOCATION  
SOURCES  
OBSERVER  
536  
20  
Las Cruces, New Mexico  
1 - 31 AUG",0.06234031681144609
28992946,"
Paga 2
8. IF you sow the object at NIGHT, what did you notice concerning the STARS and MOON?
UJA 8.1 STARS (Cirele One):
8.2 MOON (Circle One):
a. None
a. Bright moonlight
b. A few
b. Dull moonlight
c. Many
c. No moonlight - pitch dark
d. Don't remember
d. Don't remember
9. The object appeared:
Dark with string ain in center
(Circle One):
a. As a light
b.
Shiny
c. Dark
d. Don't remember
10. If it appeared as a light, was it brighter than the brightest stors?
yes.
11. Did the object:
(Circle One for each question)
a. Appear to stand still at any time?
(Yes
No
Don't Know
b. Suddenly speed up and rush away at any time?
Yes
No
Don't Know
c. Break up into parts or explode?
Yes
(No
Don't Know
d. Give off smoke?
Yes
No
Don't Know
a. Change brightness?
Yes
(No)
Don't Know
f. Change shape?
Yes
No
Don't Know
g. Flash or flicker?
Yes
No
Don't Know
h. Disappear and reappear
(Yes
No
Don't Know
12. Did the object move behind something at any time, particularly a cloud?
(Circle One):
Yes
No
Don't Know.
IF you answered YES, then tell what
it moved behind: cells inale land wild; had list but
thought Chey percolificate
13. Did the object move in front of something at any time, particularly a cloud?
(Circle One):
Yes
No)
Don't Know.
IF you answered YES, then tell what
in front of:
14. Did the object appear: (Circle One):
a)
Solid b. Transparent c. Vapor d. Don't Know
15. Did you observe the object through any of the following?
a. Eyeglasses
Yes
No
e. Binoculars
Yes
No
b. Sun glasses
Yes
No)
i. Telescope
Yes
c. Windshield
Yes
No
g. Theodolita
Yes
d. Window glass
Yes
(No
h. Other Nume","Page 2  
8. IF you saw the object at NIGHT, what did you notice concerning the STARS and MOON?  
NA 8.1 STARS (Circle One):
None
A few
Many
Don’t remember
8.2 MOON (Circle One):
Bright moonlight
Dull moonlight
No moonlight -- pitch dark
Don’t remember
 
9. The object appeared:  ǂillegibleǂ
(Circle One): a As a light ʘb. Shinyʘ c. Dark d. Don’t remember  

 
10. If it appeared as a light, was it brighter than the brightest stars?  
Yes.  
11. Did the object: (Circle One for each question)  
a. Appear to stand still at any time?  
ʘYesʘ No Don’t Know 
b. Suddenly speed up and rush away at any time?  
 
Yes ʘNoʘ Don’t Know
 
c. Break up into parts or explode?  

Yes ʘNoʘ Don’t KNow  
 
d. Give off smoke?  

Yes ʘNoʘ Don’t Know
 
e. Change brightness?  
 
Yes ʘNoʘ Don’t Know  
 
f. Change shape?  
 
Yes ʘNoʘ Don’t Know  
 
g. Flash or flicker?  
 
Yes ʘNoʘ Don’t Know 
 
h. Disappear and reappear?  
ʘYesʘ No Don’t Know 
 
 
12. Did the object move behind something at any time, particularly a cloud?  
(Circle One):  
 
Yes ʘNoʘ Don’t Know
.  
IF you answered YES, then tell what it moved behind: headed back behind a cloud and moved fast although they could still see the object  
13. Did the object move in front of something at any time, particularly a cloud?  
(Circle One):  
 
Yes ʘNoʘ Don’t Know  
.  
IF you answered YES, then tell what in front of:  N/A
14. Did the object appear: (Circle One):  
ʘSolidʘ
Transparent
Vapor
Don’t Know  
 
15. Did you observe the object through any of the following?  
a. Eyeglasses  
 
Yes ʘNoʘ Don’t Know  
b. Sun glasses  
 
Yes ʘNoʘ Don’t Know  
c. Windshield  
 
Yes ʘNoʘ Don’t KNow  
d. Window glass  

Yes ʘNoʘ Don’t Know  
e. Binoculars  
ʘYesʘ No Don’t Know 
 
f. Telescope  
 
Yes ʘNoʘ Don’t Know  
g. Theodolite  
 
Yes ʘNoʘ Don’t Know  
h. Other None
",0.22229064039408866
